id,type,text1,text2,text3,notes
ms_scylla,SHIP,"In many ways the culmination of Shadowyards design philosophy in regards to Phase ships, the Scylla-class Phase Cruiser possesses an almost disproportionately heavy armament for her size.

Much like her smaller cousins, the Scylla is able to enter phase relatively inexpensively but the distributed nature of Shadowyards phase anchoring systems introduces much higher inefficiency in maintaining dives as opposed to standard Domain equipment. As such the best captains and crews at using these vessels tend to wait until the last possible moment to engage the cloaking systems.

Her heavy weapons banks, combined with two 'Hydra' phase drones have given her a reputation as an especially fearsome opponent, and vessels of this class are hated and lusted after by privateers across the sector. Shadowyards considers the vessel to be an extremely valuable asset, however, and as such they are only rarely seen outside of their control.",,,
ms_mimir,SHIP,"Until the SRA augmented it’s battle line with the Vardr-class battleship, the Mimir was the largest direct combatant manufactured by the SRA. The Mimir is a formidable and versatile battlecruiser, which like most current SRA vessels is capable of extended operations with minimal support.

For her size the vessel is unusually swift and has had particular effort put in to ensuring that her maneuvering ability is a cut above other Battlecruisers or Battleships; in particular this is suspected to be due to the super-heavy phase energy cannon occupying much of the Mimir's bow. This 'Nídhöggr Lance' is capable punching through the heaviest armor, though it is less effective against shield systems.

Her unusual appearance, even by Shadowyards standards, combined with her unprecedented main cannon, has caused some to speculate that the vessel is in fact based off of an alien derelict rather than being of human origin, much to the consternation of SRA scientists and engineers.",,,
ms_lambent,SHIP,"A mid sized fueling ship built by the SRA, the Lambent is mostly notable for being almost entirely automated, only occasionally requiring crew to provide periodic maintenance, though a small crew is maintained aboard to monitor the onboard systems.

Offering a slightly less capacious fuel bunker than it's more common cousin the Phaeton, it is the Lambents extraordinarily light maintenace requirements that most commonly see it selected. Additional berthing is maintained aboard the vessel in case more extensive repairs than the automated systems can provide are needed, but this has most famously been used to transform a Lambent into an impromptu, and highly explosive, lifeboat.",,,
ms_solidarity,SHIP,"The Solidarity class Armed Frieghter is a capable transport ship, designed to be able to deliver cargo to any port of call through all but the most adverse conditions.

A bit less capable in prolonged engagement than her ideological cousin the Mule, due to her more fragile hull and fewer turreted weapons emplacements, the Solidarity is nonetheless fairly formidable for a freight hauler and is typically ignored in favor of easier prey by pirates and other malcontents.

The vessel has an enlarged shuttle landing platform on her starboard flank, and there has been some speculation that the Solidarity could be converted into a light carrier relatively easily, but the ubiquity of the Tarsus and its sister the Condor, to say nothing of the Sargasso, has resulted in such speculation rarely seeing any serious pursuit.",,,
ms_skinwalker,SHIP,"The Skinwalker is a highly mobile, advanced fighter design intended to provide top cover against enemy fighter craft; utilizing a small particle cannon and its blackcap missile system, it presents a serious threat to enemy fighter wings.

While not exceptionally heavily armed, it possesses a unique high-density flux capacitor, which, combined with it's speed, agility and broad shielding make it difficult to overwhelm; should these fail, the Skinwalker is still quite tough, giving the flight crew time to elude their attackers and return to base.",,,
ms_potnia,SHIP,"Cheap to maintain and inexpensive to build, the Potnia is a personnel transport that is somewhat common in the areas around Shadowyards controlled space.

The Potnia is not quite as capable a transport ship as the more common Valkyrie, only able to carry a single above strength company of Marines; the ship is considered to have a slightly better command and control ability for soldiers operating from her, however, due to the large, high gain communications array taking up much of the upper levels of the ships starboard side.",,,
msp_potniaBis,SHIP,"A favorite of pirates and mercenaries due to low operating costs and her aggressive weapons layout, the Potnia-bis is regularly encountered even outside Shadowyards space.

Much of the internal space of these vessels has been given over to additional generators, magazines and the engines supporting the additional weapons mounts.  The original shielding systems are typically too much of a strain on the ship, even with the upgraded generator systems, and so are nearly always replaced with a MK I Shield Emitter, which are abundantly common across the sector due to Buffalo Mk.II conversions.

The resulting ship is capable of producing blistering firepower, though its punch is to an extent countered by its own improvised power supply systems, which tend to overload in the heat of battle.  Despite this, the vessel is popular with her crews and captains, who praise the ships ability to deliver a killer blow to their enemies.",,,
msp_thresher,SHIP,"Built largely from the salvaged remains of destroyed Elysium-class Light Cruisers, the Thresher is a deadly and aggressively upgunned Light Cruiser with extraordinary offensive firepower.

While not in any way an inexpensive or common vessel, the Thresher is well loved by those rogues lucky enough to acquire one, as it is a tremendously effective raiding ship.  It's battery, while less focused, is capable of matching the offensive capabilities of larger and heavier cruisers over short bursts, while still possessing the speed and maneuverability to run down most merchant shipping.

Much like the ubiquitous Buffalo Mk II, these vessels come in a bewildering number of configurations, no two being exactly alike.",,,
msp_southpaw,SHIP,"Rugged and dependable, the Southpaw is a fierce little frigate capable of dishing out very strong firepower.

These ships are often constructed from the remains of Shadowyards vessels otherwise too badly damaged to recover, taking what little remains of various craft and turning them into shockingly serviceable combat ships, possible largely due to the highly modular nature of SRA engineering. While her acceleration is poor, her top speed is quite good and these vessels are more than capable of running down fleeing merchant shipping.

Despite these advantages, the Southpaw has a reputation for being a finicky combat vessel, as her weapons systems exceed her cobbled together power systems ability to deal with them; in the hands of a skillful captain, however, the damage a Southpaw can deliver is not to be underestimated.",,,
ms_neriad,SHIP,"Designed to be launched from planetary bases, the Neriad is a rare aerospace fighter design amongst the more commonly space based fighter craft encountered in the sector.

The Neriad is equipped with a small, rapid fire auto cannon which is mostly useful against fighters and missiles; this primary armament is backed up with a load of Blackcap missiles, which can give it the edge in fighter engagements and theoretically allows it to threaten larger craft.  Low cost and ease of maintenance were key design goals for the craft, as they were intended to maintain a cheap garrison force for planetary governors.  As such, the SRA has spread these fighters to near ubiquity across under defended worlds throughout the sector, and its low price point and ease of acquisition has made it reasonably popular among independent spacers as well.",,,
ms_raksasha,SHIP,"The primary bomber craft in use by Shadowyards renegades and associated privateers, the Raksasha is a capable attack craft centered around the D-14 'Tusk' torpedo.

The Raksashas primary defense against hostile fast movers and anti-fighter missiles is a small in built 'mini-flak' package, which fires a spread of four explosive shells, as well as a decent shield system.  Though not nearly so well protected as the Trident, the Raksasha is nevertheless a formidable bomber craft.",,,
ms_kobold,SHIP,"Designed around a 'Splinter' rocket pod modified for extreme range, the Kobold is an effective fire support craft and is particularly able at overwhelming gravitic shielding.

Close in defense is provided by a stripped down burst laser system and a 'Dreamcatcher' flare system.",,,
ms_ashnan,SHIP,"A small cargo hauler in fairly common use in the systems surrounding Anar.  Ships of this type keep out of combat as much as possible, as their solitary weapons battery is insufficient to really defend the craft.

The seriousness of this shortcoming has prevented the Ashnan from being more commonly adopted; unfortunately limitations of the ships reactor and drive train have made retrofitting the vessel to be better able to defend itself a daunting task, only partially resolved by programming it’s utility drones with primitive combat routines.",,,
ms_morningstar_L,SHIP,"This vessel has been transferred to the Persean League as part of a lend-lease equipment program, and has been put through a comprehensive refit to match it to League standards.  Most offensive energy weapons slots have been replaced with ballistic mounts, and additional armor plating has been fitted at some cost to flux capacity.  Additionally, the Morningstars sensor boosting equipment has been removed in favor of a set of Plasma Jets.

The Morningstar is considered the backbone of SRA patrol formations, as it is inexpensive to maintain while still offering a reasonable punch; a solid array of energy mounts, two small missile hardpoints and a small fighter bay allow it face a wide variety of battlefield threats.

The ship is named for her highly distinctive sensor system, the crown of spines circling her prow.  These sensors provide highly accurate combat telemetry and detection, though they are not noteworthy outside of combat scenarios.  Some efforts have been made to upgrade these sensors to allow for more generalist mission parameters, but the Morningstars internal hull volume has proved insufficient.

While lacking redundancy, the ships unusual extended drive system provides good speed, and is remarkably fuel efficient.  An array of potent thrusters, combined with the ships length, offer excellent agility for her size.  Her shields, while not a straight up match for the Medusa, are paired with one of the best flux dissipation systems in the sector, giving her good battlefield longevity.  Unfortunately, however, like most SRA. vessels her advantages come at the cost of a middling armor belt and fragile hull.",,,
ms_clade,SHIP,"A potent heavy destroyer, the Clade is a craft that seems to have been designed around the concept of being a deadly annoyance.

The hull of the first Clade was laid down shortly before the collapse of the Gate System, but due to the chaos following the collapse the project was first significantly delayed, and then suspended.  The class remained in limbo until SC 33, when increasingly internecine warfare between the various factions in the sector required that the SRA field a heavy combat destroyer in order to supplement the Morningstar-class.

Since first undergoing space-trial, the Clade has garnered a reputation as a truly vexatious distraction, in large part because it is too deadly too ignore, but also very difficult to decisively destroy.  Clade captains favor aggressively engaging target ships and then utilizing their powerful retro-burners to suddenly retreat, evading counter attack, only to return to the fray once they enemy has found themselves thoroughly distracted.",,,
ms_belet-seri,SHIP,"Equipped with an extensive sensor suite, the Belet-Seri is somewhat rarely deployed to enhance the detection ranges of SRA patrol fleets; in combat the class mostly sees use as an escort, as it distinctly lacking in firepower.

Introduced, albeit in rough form, during the Domains crackdown against the Shadowyards rebellion, it is thought that the proto-Belets advanced detection abilities allowed the Yardies to realize their position had been compromised and is likely to have been critical in allowing them to evade Domain sweeps in the aftermath of the destruction of their Merid fastness.",,,
msp_boss_potniaBis,SHIP,"Across the sector, there exist many unique ship classifications resulting from extensive modifications to a base design. While most differ only in minor characteristics, some Mod-Hulls (as they are called) go above and beyond anything the original is capable of. These ships often gain legendary reputations for their accomplishments in the battlefield, and become the prized possessions of elite privateers, bounty hunters, and tech miners.

The Potnia-Bis design is already a heavy modification of the Potnia transport, but the Maleficent takes things even further. In a feat of engineering, this Mod-Hull streamlines the haphazard design of the Potnia-Bis, bringing the ship into full military specifications and improving performance across the board. Many captains have died picking a fight with the Maleficent, thinking to be a much softer target than it truly is.","The Potnia-Bis design is already a heavy modification of the Potnia transport, but the Maleficent takes things even further. In a feat of engineering, this Mod-Hull streamlines the haphazard design of the Potnia-Bis, bringing the ship into full military specifications and improving performance across the board. Many captains have died picking a fight with the Maleficent, thinking to be a much softer target than it truly is.",,
ms_boss_charybdis,SHIP,"Across the sector, there exist many unique ship classifications resulting from extensive modifications to a base design. While most differ only in minor characteristics, some Mod-Hulls (as they are called) go above and beyond anything the original is capable of. These ships often gain legendary reputations for their accomplishments in the battlefield, and become the prized possessions of elite privateers, bounty hunters, and tech miners.

The one-of-a-kind Poseidon replaces the drone bay and rear assembly of the Charybdis-class hull with a secondary flux core. This extra core powers an additional set of thrusters and grants the ship the ability to use the Tartarus' signature siege mode, significantly improving its combat capabilities while maintaining its carrier status. On top of this, the Posiedon uses an altered superstructure and turret layout, increasing the ship's overall firepower and toughness.","The one-of-a-kind Poseidon replaces the drone bay and rear assembly of the Charybdis-class hull with a secondary flux core. This extra core powers an additional set of thrusters and grants the ship the ability to use the Tartarus' signature siege mode, significantly improving its combat capabilities while maintaining its carrier status. On top of this, the Posiedon uses an altered superstructure and turret layout, increasing the ship's overall firepower and toughness.",,
ms_boss_mimir,SHIP,"Across the sector, there exist many unique ship classifications resulting from extensive modifications to a base design. While most differ only in minor characteristics, some Mod-Hulls (as they are called) go above and beyond anything the original is capable of. These ships often gain legendary reputations for their accomplishments in the battlefield, and become the prized possessions of elite privateers, bounty hunters, and tech miners.

Constructed around a wrecked Mimir, the Odin is a bastardized Frankenstein of a ship. Over the decades, each successive owner added their personal touches to the overall design, leading to the Odin's eclectic mix of materials and technologies, as well as its ridiculous, mixed weapons layout. The end result is a ship that can't quite be categorized. However, everyone does agree - whether it's due to the heavy armor upgrades, the upgraded engines, or the extra weapons - that the Odin is a very dangerous combatant.","Constructed around a wrecked Mimir, the Odin is a bastardized Frankenstein of a ship. Over the decades, each successive owner added their personal touches to the overall design, leading to the Odin's eclectic mix of materials and technologies, as well as its ridiculous, mixed weapons layout. The end result is a ship that can't quite be categorized. However, everyone does agree - whether it's due to the heavy armor upgrades, the upgraded engines, or the extra weapons - that the Odin is a very dangerous combatant.",,
ms_wraith_drone,SHIP,"A common choice for captains looking to bulk up their fighter numbers, the QME-2200 Wraith is built around an ultra compact neutron accelerator, giving it a reputation as a very ""Sticky"" craft to engage in a dogfight; aside from that core component, the Wraiths design is exceedingly simple and quite robust, allowing rapid replacement of these drone craft in the field.",,"Deploys four medium-range combat drones, each equipped with a mini-flak system for defense.",
ms_loader_drone,SHIP,"A midsized utility drone, the Loader is used for cargo retrieval and asteroid mining; modified AI programs for these drones, allowing them to target hostile craft, are so ubiquitous that they practically come standard.",,,
ms_hydra_drone,SHIP,"The Hydra is a sophisticated combat drone, designed specifically with the Scylla-class in mind.  Equipped with a compact SRA ‘Anchor'-style phase cloak system and a small afterburner, the Hydra is swift and long-lasting. Each drone is armed with a small infernium flechette cannon and a Lancet anti-missile pod.

Two of these formidable battle drones can be deployed by the Scylla at a time, and their sophisticated beta-level personality constructs allow them to wander a considerable distance from their mother ship.",Drones (high tech),"Deploys two drones equipped with phase cloak systems, afterburners, an infernium flechette cannon, and a Lancet anti-missile pod.",
ms_skadi,SHIP,"The Skadi is a competent fleet carrier, whose armaments package is capable of defending it in close combat.  While lacking the sheer capacity of the Astral, or the close combat ability of the Legion, the vessel is nonetheless considered a capable middle ground between the two.

There is some suggestion that designs for a ship similar to the Skadi significantly predate the Collapse and may even have been collaborated upon by multiple separate rebel groups at various times; the fighter was often the weapon of choice for revolutionary movements, who were often hampered by a lack of suitable craft from which to deploy them, and a ship such as the Skadi was no doubt the dream of many such organizations.",,,
ms_minos,SHIP,"A sturdy workhorse cruiser, the Minos is a popular craft due to it's durability, ease of maintenance and considerable fuel bunker; these ships are kitted for deep space exploration and are expected to operate for extended periods with little external support.  As a lone Minos is often relatively easy prey however, this rarely occurs given the danger present throughout the Sector.

Much of the Minos' internal volume is taken up by her sizable cargo holds, fuel bays and drone servicing areas, leaving only a small capacity for additional crew, and the ship itself is noted as being particularly cramped, though her accommodations are slightly improved from average in a partial effort to counteract the confined space aboard.",,,
msp_baseplate,SHIP,"Speculated to exist primarily as a means to dispose of particularly troublesome subordinates, the Baseplate-class Carrier Frigate is an unusual and extensive modification of the Ashnan Freight Hauler.

Probably the smallest carrier craft conceivable, creating a Baseplate requires a series of extremely ill-advised alterations to the hull of a craft already ill-suited for the rigors of combat.  Nearly all space previously devoted to cargo, fuel and crew amenities has been stripped away to make room for the necessary deck space required to house, arm and launch a wing of fighter craft.  In addition to the logistical drain a Baseplate represents, the extensive stripping of the hull has reduced it's already paltry defensive armaments and, worse, it's shield generator and armor, greatly compromising the crafts survivability.

A Hegemony Engineer, asked about the modified craft, allegedly responded that it was ""almost impressive, if it weren't so damn foolheaded.""",,,
ms_dromedary_drone,SHIP,"A large drone typically used in asteroid mining, the Dromedary is a sturdy support vehicle; armed with a small mining blaster, the Dromedary is not as useful for point defense as the more common Mining Drone but is theoretically more handy in a fight.",,,
ms_vardr,SHIP,"Based off of the failed Jotunn prototype, the Vardr-class Battleship was developed in order to counter a perceived deficiency in heavy combat support; in particular, with the arrival of the Hegemony, the SRA began to feel the lack of a direct answer to the Onslaught.  The Jotunn, and in turn the Vardr, was conceived of as that answer, a powerful battleship which could go blow-for-blow with the Domains aging stalwart and prevail.

Despite the inexplicable calamity surrounding the prototype, much of the Jotunn’s components and basic design were deemed salvageable; however in order to permit the Vardr sufficient speed to remain a viable tactical unit, the Jotunn’s excess of guns and heavy armor were stripped away, and its reliance on questionable experimental devices removed in favor of a far less volatile mobility enhancing system.  While the Vardr’s armaments do not quite match up to the Onslaught as a result, and it is difficult to work into the SRA’s mobile combat doctrine, the vessel is nevertheless considered a formidable heavy combat craft.",,,
ms_minarette,SHIP,"The Minarette class destroyer is a relatively recent addition to the SRA's fleet lineup, centered around a missile focused weapons package with relatively minimal support ability for energy weapons, setting it apart from standard Shadowyards tactical doctrine.

Despite a highly contentious design process, the craft entered service in c. 172 and soon proved itself a valuable support unit for Shadowyards naval forces. Under the right circumstances the ship can prove surprisingly dangerous in a direct confrontation, but these vessels are largely relegated to a back line role where close combat can be avoided.",,,
ms_shikome,SHIP,"Quite possibly representing the upper limit of what is achievable with the SRA’s current technological base in regards to fighter design, the Shikome is a rare and especially deadly small craft. The craft appears to have been developed under strict secrecy, and was at most a rumor until the battle of Gigas Jump in late c. 205, where the Hegemony 6th fleet first encountered the advanced fighter design. 

The Shikome has generally superior handling characteristics, aided by a modified version of the so-called ""Lock drive"" system, and is incredibly heavily armed for its size; standard fighter doctrine does not offer a suitable response, and casualties among squadrons engaging these fighters has thus far been markedly higher than average.

Certain elements of Hegemony Military Intelligence fear that the Shikome fighters encountered thus far represent advanced prototype craft undergoing field trials, and that as soon as the SRA finishes working the kinks out these fearsome craft will enter full production.",Anti-Fighter,,
ms_anu,SHIP,"Anu-class shuttles are a venerable design, which the SRA celebrates as being their first true spacecraft. The early Anu-class served as gunships for the Shadowyards rebellion and fought throughout the Persean Sector, but were rendered obsolete with the introduction of the Enil. Modern variants have had their armament reduced and internal combat systems replaced with passenger quarters.",,,
ms_cetus,SHIP,"The Cetus is a sturdy Bulk Freighter which fulfills a significant portion of the medium scale shipping needs of various parties through much of the sector, making them a familiar sight. While not able to carry quite as much cargo as the venerable Colossus, these ships are close enough in capacity to remain competitive while being better defended and faster.

The class was introduced in early cycle 29, shortly after the Yardie rebels and the Anar Colonial Group formally merged; among the first actions of the new polity was the mass production of these useful logistics craft, anticipating not only future need, but the need to train skilled construction personnel. Additionally, favorable immigration protocols and the offer of steady employment brought a significant uptick in the Anar systems population. Arguably these ships ended up massively overproduced as a result, and it is generally believed that there are still vessels from the original run waiting mothballed.",,,
msp_skolopendra,SHIP,"A variant of the Cetus, the belligerent Skolopendra is thankfully rarely encountered on the Sectors spaceways, as the ship is well armed and extremely dangerous in the right hands. The design is believed to have been the brainchild of a particularly skillful pirate ship-basher who, rather than choose to do the obvious and convert the Cetus into a serviceable carrier, elected to use the vessels ample cargo space to house retrofitted phase coils from captured Afflictors, converting the craft into an improvised phase cruiser.

The bulk of the Skolopendras internal cargo volume has been given over to armored bulkheads, power generators and the engines necessary to manage the vessels extensive armaments package. Numerous adjustments have also been made to the vessels linear drive systems, boosting the ships top speed, though the vessels acceleration remains anemic. This extensive conversion process is time consuming and very costly, and is believed to require a Cetus hull in good condition to act as the basis for its upgunned cousin. Fortunately for the pirates, and unfortunately for everyone else, massive quantities of Cetus frames in reasonably good condition exist and are relatively easy to acquire.",,,
ms_delphi,SHIP,"The Delphi-class is a versatile all-rounder, filling in as a general patrol and combat cruiser in use by the SRA and it's affiliates. While on paper somewhat undergunned, the Delphi makes up for it's slight dearth of firepower with its GAT system.

The class has a solid reputation as a combat cruiser; a lack of significant weaknesses, a reasonably sturdy hull and relatively low cost of production ensure its continued popularity, though it is not generally considered a ""stand out"" warship. The vessels design history has proven of some interest to historians, as the ship appears to have been designed and constructed while the SRA was largely unaware of the projects existence; it is unclear where and when the order requesting a vessel of these specifications was made, and the design appears to have bounced back and forth between a number of different naval design cooperatives for at least 9 cycles before the first run of these vessels was constructed.

Despite the vessels fairly average capabilities, the unintentional secrecy surrounding its production greatly perplexed the Hegemony Intelligence Service, who were caught only slightly less flatfooted than the Yardies themselves.",,,
ms_semele,SHIP,"Suitable for use in the rougher areas of the sector, the Semele is reasonably well defended and has a considerable fuel bunker; they are primarily used to provide logistics support, moving strategic levels of fuel to remote colonies.",,,
ms_lobatus,SHIP,"A tough destroyer designed around a primarily defensive role, the Lobatus is commonly used as an escort for larger warships in particularly heavy engagements.

Though her drive train is serviceable, it is rarely used for much more than getting the ship into position; once in place the vessel digs in, trading mobility for firepower and heavy shielding. Though they do not fit into standard SRA fleet doctrine, ships of this class are nonetheless prized for their ability to lock down vulnerable flanks, allowing more mobile fleet assets greater freedom in the battlespace.",,,
msp_carmine,SHIP,"Named by its Hegemony Navy Reporting Code, the Carmine is a rarely encountered small attack carrier well suited for use as a raider.

Though the vessel is very clearly of Shadowyards design, it is almost exclusively used by Pirates. How the blueprints for this craft came into criminal hands is uncertain, but it is generally believed to be the result of a fumbled attempt to provide the Askonian Revolutionary Council with a combat ship design. Investigation into its source remains inconclusive.

The first reported encounter with vessels of the Carmine-class was in c. 193 when the 'Thresher', commanded by the infamous raider EP Naimal, was destroyed. Of the three Carmines supporting Naimal, the 'Clayton' is believed to have escaped the battle and is still at large.",,,
msp_heckler,SHIP,"A relatively common 'chipbash' fighter, Hecklers consist of a variety of broadly similar Heavy Interceptor designs based primarily upon a Neriad/Skinwalker base featuring an oversized engine housing, giving it very high speed and long range.

These small craft have a reputation as capable dogfighters, and are in use with both pirates and independent captains.",,,
msp_vulgar,SHIP,"Based upon a heavily modified Rakshasha blueprint, the Vulgar-class bomber is sometimes referred to as the 'Blaster Shuttle,' as its payload is generally considered its most notable feature. 

A single use capacitor powers the crafts main armament, a heavily stripped down Mining Blaster; while reasonably formidable and logistically undemanding, their performance as combat craft often leaves something to be desired. They are slow and handle poorly, leaving them vulnerable to interception, and are often unable to penetrate heavy point defence to deliver their payloads.",,,
ms_eir,SHIP,"As much a political statement as a passenger ship, the Eir class is one of the largest starliners in the history of space travel.

Decried by many, even within the SRA itself, as a pointless display of opulence the class was conceived of as a statement of the superiority of Yardie ideology. The vessel can house thousands of passengers in comfort and style, and is notable for its large recreation and communal spaces, offering a wide variety of onboard services. A relatively small number of these massive ships have been constructed and, despite the efforts of the SRA to keep the cost of access low, demand regularly spikes ticket prices.

It is uncertain how well the SRAs ambitions with these ships has been met; few of the people it was hoped would be served by these craft have been aboard. Ticket scalping and the accompanying price gouging often limits access to the wealthy, a fact not without irony. Nevertheless, their grandeur, as well as the role these ships played in rescuing survivors of Hanan Pacha, has at least kept the Eir class from being a complete failure.",,,
ms_potniaTris_vayra_revolutionary,SHIP,"An apparent alteration of the popular Potnia-bis, the ‘tris’ is so far only in use by the verbosely named Persean Democratic Revolutionary People’s Council.

Much of the internal space of these vessels has been given over to additional generators, magazines and the engines supporting the additional weapons mounts. An additional generator has been fitted, allowing the vessel to maintain a sturdier shield than its more common cousin. The vessels power grid still tends to suffer under combat load, however, so these vessels are equipped with an improvised flux purging system.",,,
ms_upelluri,SHIP,"The Upelluri is a large station defense drone centered around a specialized microfabricator, augmenting its host stations squadrons with half wings of Wraith drone fighters. Because it requires no crew, travel drive or any kind of on board command systems, the Upelluri can fight above expectations for its mass.",,,
